capex_multiplier,opex_multiplier,tariff_per_kwh,capex,opex_year1,lcoe_per_kwh,npv,irr
0.8,0.8,0.06,1069824.0000000002,21760.0,0.07046785088354215,-201781.22486151638,0.055482522100609846
0.8,0.8,0.08,1069824.0000000002,21760.0,0.07046785088354215,183744.37558195693,0.1006324165082826
0.8,0.8,0.1,1069824.0000000002,21760.0,0.07046785088354215,569269.97602543,0.1408409322132843
0.8,0.8,0.12,1069824.0000000002,21760.0,0.07046785088354215,954795.5764689029,0.17869667314879759
0.8,0.8,0.14,1069824.0000000002,21760.0,0.07046785088354215,1340321.176912377,0.21531873864300238
0.8,1.0,0.06,1069824.0000000002,27200.0,0.07420993734758025,-273914.7314095,0.04559609294828304
0.8,1.0,0.08,1069824.0000000002,27200.0,0.07420993734758025,111610.8690339732,0.09280231999793843
0.8,1.0,0.1,1069824.0000000002,27200.0,0.07420993734758025,497136.4694774463,0.1339518950769812
0.8,1.0,0.12,1069824.0000000002,27200.0,0.07420993734758025,882662.0699209194,0.17231915486352373
0.8,1.0,0.14,1069824.0000000002,27200.0,0.07420993734758025,1268187.6703643927,0.2092476694017346
0.8,1.2,0.06,1069824.0000000002,32640.0,0.07795202381161832,-346048.2379574841,0.03484455738887495
0.8,1.2,0.08,1069824.0000000002,32640.0,0.07795202381161832,39477.36248598923,0.08463565294998862
0.8,1.2,0.1,1069824.0000000002,32640.0,0.07795202381161832,425002.9629294623,0.12689158697978423
0.8,1.2,0.12,1069824.0000000002,32640.0,0.07795202381161832,810528.5633729354,0.16584174717954628
0.8,1.2,0.14,1069824.0000000002,32640.0,0.07795202381161832,1196054.1638164085,0.20311308705619818
0.9,0.8,0.06,1203552.0000000002,21760.0,0.07740528901196587,-335509.2248615164,0.042963079805143946
0.9,0.8,0.08,1203552.0000000002,21760.0,0.07740528901196587,50016.375581956934,0.08509125884818608
0.9,0.8,0.1,1203552.0000000002,21760.0,0.07740528901196587,435541.97602543,0.12209596477213754
0.9,0.8,0.12,1203552.0000000002,21760.0,0.07740528901196587,821067.5764689029,0.1565790107115544
0.9,0.8,0.14,1203552.0000000002,21760.0,0.07740528901196587,1206593.176912377,0.18968807414661626
0.9,1.0,0.06,1203552.0000000002,27200.0,0.08114737547600397,-407642.7314095,0.033484563797251995
0.9,1.0,0.08,1203552.0000000002,27200.0,0.08114737547600397,-22117.1309660268,0.07769984940430877
0.9,1.0,0.1,1203552.0000000002,27200.0,0.08114737547600397,363408.4694774463,0.11567411111654127
0.9,1.0,0.12,1203552.0000000002,27200.0,0.08114737547600397,748934.0699209194,0.15069318256995545
0.9,1.0,0.14,1203552.0000000002,27200.0,0.08114737547600397,1134459.6703643927,0.1841284116205995
0.9,1.2,0.06,1203552.0000000002,32640.0,0.08488946194004204,-479776.2379574841,0.02312825931961029
0.9,1.2,0.08,1203552.0000000002,32640.0,0.08488946194004204,-94250.63751401077,0.06996426127240221
0.9,1.2,0.1,1203552.0000000002,32640.0,0.08488946194004204,291274.9629294623,0.10907522155520905
0.9,1.2,0.12,1203552.0000000002,32640.0,0.08488946194004204,676800.5633729354,0.1447029860056629
0.9,1.2,0.14,1203552.0000000002,32640.0,0.08488946194004204,1062326.1638164085,0.17850181244954755
1.0,0.8,0.06,1337280.0000000002,21760.0,0.0843427271403896,-469237.2248615164,0.03243589265567991
1.0,0.8,0.08,1337280.0000000002,21760.0,0.0843427271403896,-83711.62441804307,0.07218851826879448
1.0,0.8,0.1,1337280.0000000002,21760.0,0.0843427271403896,301813.97602543,0.10668994018525411
1.0,0.8,0.12,1337280.0000000002,21760.0,0.0843427271403896,687339.5764689029,0.13854216005599568
1.0,0.8,0.14,1337280.0000000002,21760.0,0.0843427271403896,1072865.176912377,0.1689075326249516
1.0,1.0,0.06,1337280.0000000002,27200.0,0.08808481360442769,-541370.7314095,0.023280111709478683
1.0,1.0,0.08,1337280.0000000002,27200.0,0.08808481360442769,-155845.1309660268,0.06514074547412961
1.0,1.0,0.1,1337280.0000000002,27200.0,0.08808481360442769,229680.46947744628,0.1006324165082827
